企業名,キャッチコピー,ステータス,初年度年収
共同エンジニアリング株式会社 | 未経験歓迎／研修充実／年間休日120日／正社員／働き方改革中,★履歴書がまっさらでもOK！100％人柄採用【建設管理サポート】 正社員,正社員,300万円～600万円
株式会社テクノプロ | テクノプロ・IT社【東証一部上場 テクノプロ・グループ】,【インフラエンジニア】◇年休123日/未経験者歓迎/残業月12.5h 正社員,正社員,350万円～650万円
株式会社一条工務店 | 戸建注文住宅の販売棟数No.1★コロナ禍でも受注数2019年比110％,No.1の商品力＆完全反響型！戸建住宅の【営業・販売】★全国募集 正社員,正社員,450万円～800万円
株式会社テクノプロ | テクノプロ・IT社 【東証一部上場 テクノプロ・グループ】,【開発エンジニア】年休123日/残業月12.5h/リモート勤務も対応可 正社員,正社員,350万円～650万円
東建コーポレーション株式会社 | 賞与も嬉しい5ヶ月分！転職後に多くの社員が年収アップを実現,上場企業で安心を――【営業職】※関東募集／未経験歓迎 正社員,正社員,400万円～1000万円
株式会社システナ | ★東証一部上場 ★5/29にマイナビ転職フェア新宿に出展します！,前給UP保証【ITエンジニア(PM/PL候補)】最先端/プライム案件多数 正社員,正社員,500万円～1500万円
株式会社夢テクノロジー | ★東証一部上場企業グループ★資格取得支援など各種制度充実◎,AWS研修からスタートできる【インフラエンジニア】★資格取得可 正社員,正社員,400万円～500万円
ＳＯＭＰＯひまわり生命保険株式会社 | ★完全週休2日(土日祝)＋安心の固定給 ★テレワークも可能です！,【ライフカウンセラー】★月給30万円スタート/未経験OK/45歳以下 正社員,正社員,350万円～600万円
東建コーポレーション株式会社 | エリア勤務でも高収入、地元で安心できる生活を手に入れよう！,＼年休127日／【 営業 】東海エリア募集＊未経験＊年齢不問 正社員,正社員,400万円～800万円
株式会社ビッグモーター | ◆年収例500万円（26歳：未経験入社3年目）◆マイカー通勤可能,未経験歓迎★1～2時間の短距離★普通免許でOK【配送ドライバー】 正社員,正社員,300万円～700万円
株式会社ネクステージ | 東証・名証一部上場／転勤なし／月2日・土日祝の休み可,100%来店型【車の販売営業】※インセンだけで月収150万円可 正社員,正社員,400万円～800万円
株式会社ネクステージ | 上場企業/1年で店長昇格可※平均年収740万円/正当評価を得よう！,100％反響営業【車の査定・買取営業】※入社2ヶ月で月収45万円可 正社員,正社員,400万円～800万円
